summarizing
"장전2동의 2023년 8월 치킨/닭강정 업종의 총매출은 232600000이고, 금정구에서 장전2동의 치킨/닭강정 업종 매출은 1등입니다."
"장전2동의 2023년 8월 한식 업종의 총매출은 2961680000이고, 금정구에서 장전2동의 한식 업종 매출은 1등입니다."
"장전2동의 2023년 8월 일식 업종의 총매출은 595580000이고, 금정구에서 장전2동의 일식 업종 매출은 1등입니다."
"장전2동의 2023년 8월 중식 업종의 총매출은 348310000이고, 금정구에서 장전2동의 중식 업종 매출은 1등입니다."
"장전2동의 2023년 8월 카페/커피/찻집 업종의 총매출은 523130000이고, 금정구에서 장전2동의 카페/커피/찻집 업종 매출은 1등입니다."
"청룡노포동의 2023년 8월 치킨/닭강정 업종의 총매출은 40840000이고, 금정구에서 청룡노포동의 치킨/닭강정 업종 매출은 9등입니다."
"청룡노포동의 2023년 8월 한식 업종의 총매출은 702110000이고, 금정구에서 청룡노포동의 한식 업종 매출은 7등입니다."
"청룡노포동의 2023년 8월 일식 업종의 총매출은 37430000이고, 금정구에서 청룡노포동의 일식 업종 매출은 6등입니다."
"청룡노포동의 2023년 8월 중식 업종의 총매출은 7590000이고, 금정구에서 청룡노포동의 중식 업종 매출은 14등입니다."
"청룡노포동의 2023년 8월 카페/커피/찻집 업종의 총매출은 72540000이고, 금정구에서 청룡노포동의 카페/커피/찻집 업종 매출은 12등입니다."
"남산동의 2023년 8월 치킨/닭강정 업종의 총매출은 165920000이고, 금정구에서 남산동의 치킨/닭강정 업종 매출은 3등입니다."
"남산동의 2023년 8월 한식 업종의 총매출은 1206080000이고, 금정구에서 남산동의 한식 업종 매출은 3등입니다."
"남산동의 2023년 8월 일식 업종의 총매출은 31140000이고, 금정구에서 남산동의 일식 업종 매출은 7등입니다."
"남산동의 2023년 8월 중식 업종의 총매출은 112050000이고, 금정구에서 남산동의 중식 업종 매출은 4등입니다."
"남산동의 2023년 8월 카페/커피/찻집 업종의 총매출은 164020000이고, 금정구에서 남산동의 카페/커피/찻집 업종 매출은 7등입니다."
"구서1동의 2023년 8월 치킨/닭강정 업종의 총매출은 197100000이고, 금정구에서 구서1동의 치킨/닭강정 업종 매출은 2등입니다."
"구서1동의 2023년 8월 한식 업종의 총매출은 2011390000이고, 금정구에서 구서1동의 한식 업종 매출은 2등입니다."
"구서1동의 2023년 8월 일식 업종의 총매출은 94380000이고, 금정구에서 구서1동의 일식 업종 매출은 3등입니다."
"구서1동의 2023년 8월 중식 업종의 총매출은 167300000이고, 금정구에서 구서1동의 중식 업종 매출은 2등입니다."
"구서1동의 2023년 8월 카페/커피/찻집 업종의 총매출은 182150000이고, 금정구에서 구서1동의 카페/커피/찻집 업종 매출은 5등입니다."
"부곡3동의 2023년 8월 치킨/닭강정 업종의 총매출은 153560000이고, 금정구에서 부곡3동의 치킨/닭강정 업종 매출은 4등입니다."
"부곡3동의 2023년 8월 한식 업종의 총매출은 965010000이고, 금정구에서 부곡3동의 한식 업종 매출은 4등입니다."
"부곡3동의 2023년 8월 일식 업종의 총매출은 82510000이고, 금정구에서 부곡3동의 일식 업종 매출은 5등입니다."
"부곡3동의 2023년 8월 중식 업종의 총매출은 58250000이고, 금정구에서 부곡3동의 중식 업종 매출은 6등입니다."
"부곡3동의 2023년 8월 카페/커피/찻집 업종의 총매출은 372210000이고, 금정구에서 부곡3동의 카페/커피/찻집 업종 매출은 2등입니다."
